id,name,category,price,sizes,tag,media,featured
FU-001,Camisetas Básicas,Camisetas,2.50,"S, M, L","Urban, Basic","assets/p1-1.jpg|assets/p1-2.jpg|assets/p1-3.jpg",No
FU-002,Chompas Urban,Abrigos,15.00,"M, L, XL","Urban, Streetwear","assets/p1-1.jpg|assets/p1-2.jpg|assets/p1-3.jpg",No
FU-003,Polos Flow,Camisetas,5.00,"S, M, L","Casual, Urban","assets/p1-1.jpg|assets/p1-2.jpg|assets/p1-3.jpg",No
FU-004,Busos Chompas,Abrigos,5.00,"M, L, XL","Urban, Hoodie","assets/p1-1.jpg|assets/p1-2.jpg|assets/p1-3.jpg",No
FU-005,Pantalones Street,Pantalones,7.00,"30, 32, 34","Streetwear, Urban","assets/p1-1.jpg|assets/p1-2.jpg|assets/p1-3.jpg",No
FU-006,Chompa de Algodón,Abrigos,20.00,"M, L","Algodón, Premium","assets/p1-1.jpg|assets/p1-2.jpg|assets/p1-3.jpg",Yes
FU-007,Camisetas Oversize,Camisetas,4.50,"M, L, XL","Oversize, Streetwear","assets/p1-1.jpg|assets/p1-2.jpg|assets/p1-3.jpg",Yes
FU-008,Pantalones Cargo,Pantalones,8.00,"30, 32, 34","Cargo, Streetwear","assets/p1-1.jpg|assets/p1-2.jpg|assets/p1-3.jpg",No
FU-009,Set Maquillaje Glow,Maquillaje,6.00,"Único","Beauty, Mujer","assets/logo-women.png|assets/logo.png",Yes
FU-010,Labial Urban Glam,Maquillaje,3.50,"Único","Makeup, Glow","assets/logo-women.png|assets/logo.png",No
FU-011,Gorra Flow Urban,Gorras,5.00,"Único","Cap, Streetwear","assets/logo.png|assets/p1-1.jpg",Yes
FU-012,Gorra Negra Premium,Gorras,7.00,"Único","Premium, Urban","assets/logo.png|assets/p1-1.jpg",No
